% Model,STEAM_T1_5B.mph
% Version,COMSOL 5.3.1.180
% Date,"Apr 25 2018, 11:37"
% Table,Table 4 - CvCu_avg_HT0_5Aa (CvCu_avg_HT0_5Aa)
% Time (s),CvCu_avg_HT0_5Aa (J/(m^3*K))
0.615,3490474.796940745
0.62,3492521.7030958617
0.625,3494534.86350923
0.63,3496515.416981997
0.635,3498464.480361147
0.64,3500383.148935549
0.645,3502272.496771698
0.65,3504133.5770491976
0.655,3505967.4224056588
0.66,3507775.0452781073
0.665,3509557.4382295064
0.67,3511315.5742662577
0.675,3513050.4071406606
0.68,3514762.871642415
0.685,3516453.883883109
0.6900000000000001,3518124.3415734856
0.6950000000000001,3519775.1242917995
0.7000000000000001,3521407.0937429937
0.7050000000000001,3523021.094009788
0.71,3524617.951796696
0.715,3526198.4766670656
0.72,3527763.46127314
0.725,3529313.681579376
0.73,3530849.897079295
0.735,3532372.851006368
0.74,3533883.2705390663
0.745,3535381.867000328
0.75,3536869.3360515744
0.755,3538346.3578816005
0.76,3539813.5973905292
0.765,3541271.7043690057
0.77,3542721.3136729165
0.775,3544163.045393663
0.78,3545597.505024311
0.785,3547025.2836217517
0.79,3548446.957964994
0.795,3549863.090709792
0.8,3551274.230539806
0.805,3552680.912314293
0.81,3554083.65721268
0.8150000000000001,3555482.972875957
0.8200000000000001,3556879.353545177
0.8250000000000001,3558273.2361076325
0.8300000000000001,3559665.150190729
0.8350000000000001,3561055.6645772792
0.84,3562445.275966142
0.845,3563834.406438028
0.85,3565223.468435956
0.855,3566612.8670758023
0.86,3568002.9980565375
0.865,3569394.245944499
0.87,3570786.9835177185
0.875,3572181.5717177587
0.88,3573578.3598199748
0.885,3574977.6855334933
0.89,3576379.875154825
0.895,3577785.2436954426
0.9,3579194.094978272
0.905,3580606.721724467
0.91,3582023.4056436946
0.915,3583444.417528248
0.92,3584870.0173469335
0.925,3586300.4543362423
0.93,3587735.9670901527
0.935,3589176.7836476257
0.9400000000000001,3590623.121578589
0.9450000000000001,3592075.1880691955
0.9500000000000001,3593533.180006076
0.9550000000000001,3594997.284059332
0.9600000000000001,3596467.6767640044
0.965,3597944.5246004863
0.97,3599427.9840738014
0.975,3600918.2017918723
0.98,3602415.3145427313
0.985,3603919.449370573
0.99,3605430.723650846
0.995,3606949.2451643543
1,3608475.112170361
